cafe_id,name,category,phone,address,road_address,latitude,longitude,region_code,kakao_place_id,kakao_url,naver_url,providers,matched_queries,raw_match_count
1,어라운드데이,음식점 > 카페,0502-5550-1282,서울 성동구 성수동1가 685-483,서울 성동구 서울숲2길 24-1,37.54686182777454,127.04126958888213,SEONGSU,1599571399,http://place.map.kakao.com/1599571399,,KAKAO,강남 루프탑 카페|성수 루프탑 카페|성수 옥상 카페,3
2,그린홀,음식점 > 카페 > 테마카페 > 디저트카페,0502-5553-2643,서울 성동구 성수동1가 656-947,서울 성동구 왕십리로 136,37.54969246914925,127.04456424080348,SEONGSU,107394253,http://place.map.kakao.com/107394253,,KAKAO,강남 루프탑 카페|성수 루프탑 카페|성수 옥상 카페,3
3,미디엄스톤,음식점 > 카페 > 커피전문점,0507-1383-7181,서울 성동구 성수동1가 656-711,서울 성동구 왕십리로10길 18-1,37.5465319115248,127.04652228819,SEONGSU,801186197,http://place.map.kakao.com/801186197,,KAKAO,강남 루프탑 카페|성수 루프탑 카페|성수 옥상 카페,3
4,비도커피,음식점 > 카페 > 테마카페 > 디저트카페,0503-7150-6244,서울 성동구 성수동1가 8-36,서울 성동구 왕십리로4길 24-7,37.5468237868867,127.046644682716,SEONGSU,1784371946,http://place.map.kakao.com/1784371946,,KAKAO,강남 루프탑 카페|성수 루프탑 카페|성수 옥상 카페,3
5,그린룸,음식점 > 카페 > 커피전문점,02-498-0729,서울 성동구 성수동1가 656-947,서울 성동구 왕십리로 136,37.5496933701539,127.04456424134,SEONGSU,1545128179,http://place.map.kakao.com/1545128179,,KAKAO,강남 루프탑 카페|성수 루프탑 카페|성수 옥상 카페,3
6,뉴앳던 성수,음식점 > 카페,070-4242-8111,서울 성동구 성수동1가 668-38,서울 성동구 왕십리로5길 9-20,37.5464715948163,127.044041788355,SEONGSU,1326702165,http://place.map.kakao.com/1326702165,,KAKAO,강남 루프탑 카페|성수 루프탑 카페|성수 옥상 카페,3
7,폴인레미유 성수점,음식점 > 카페,0507-1447-3597,서울 성동구 성수동1가 656-1004,서울 성동구 왕십리로14길 34-8,37.5483190697108,127.047584863802,SEONGSU,623541475,http://place.map.kakao.com/623541475,,KAKAO,성수 루프탑 카페|성수 옥상 카페,2
8,포레스트 성수,음식점 > 카페,,서울 성동구 성수동1가 668-5,서울 성동구 서울숲6길 13,37.5477081280765,127.043058009515,SEONGSU,206623819,http://place.map.kakao.com/206623819,,KAKAO,성수 루프탑 카페|성수 옥상 카페,2
9,옹근달,음식점 > 카페,02-499-5012,서울 성동구 성수동2가 333-52,서울 성동구 성수이로7길 41-1,37.54271255358584,127.05299006599826,SEONGSU,547570065,http://place.map.kakao.com/547570065,,KAKAO,강남 루프탑 카페|성수 루프탑 카페|성수 옥상 카페,3
10,성수동대림창고갤러리,음식점 > 카페 > 테마카페 > 갤러리카페,0507-1390-9669,서울 성동구 성수동2가 322-32,서울 성동구 성수이로 78,37.54171994709006,127.05624815815919,SEONGSU,1128989913,http://place.map.kakao.com/1128989913,,KAKAO,강남 루프탑 카페|성수 루프탑 카페|성수 옥상 카페,3
11,LOOOP 루프 베이커리 카페,음식점 > 카페 > 테마카페 > 디저트카페,070-7740-2020,서울 성동구 성수동2가 302-43,서울 성동구 연무장5길 9-13,37.5442084621098,127.052431000827,SEONGSU,1225156919,http://place.map.kakao.com/1225156919,,KAKAO,강남 루프탑 카페|성수 루프탑 카페|성수 옥상 카페,3
12,뷰376카페,음식점 > 카페,,서울 강남구 압구정동 376-1,,37.531416532105254,127.04226573399961,SEONGSU,534862116,http://place.map.kakao.com/534862116,,KAKAO,강남 루프탑 카페|성수 루프탑 카페|성수 옥상 카페|여의도 한강뷰 카페,4
13,토키노,음식점 > 카페,02-3409-1020,서울 성동구 성수동2가 315-28,서울 성동구 연무장5가길 22,37.5433026795717,127.055022747204,SEONGSU,1758616703,http://place.map.kakao.com/1758616703,,KAKAO,강남 루프탑 카페|성수 루프탑 카페|성수 옥상 카페,3
14,어니언 성수,음식점 > 카페,070-4353-3238,서울 성동구 성수동2가 277-135,서울 성동구 아차산로9길 8,37.544782395189884,127.05820807890457,SEONGSU,145791269,http://place.map.kakao.com/145791269,,KAKAO,강남 루프탑 카페|성수 루프탑 카페|성수 옥상 카페,3
15,삼옥,음식점 > 카페,0507-1395-3530,서울 성동구 성수동2가 289-272,서울 성동구 아차산로7길 17-1,37.54672125092348,127.05463372568822,SEONGSU,1414498733,http://place.map.kakao.com/1414498733,,KAKAO,강남 루프탑 카페|성수 루프탑 카페|성수 옥상 카페,3
16,러프러프,음식점 > 카페,010-3596-8204,서울 성동구 성수동2가 271-24,서울 성동구 연무장길 81,37.54169650410732,127.05814344586099,SEONGSU,536976342,http://place.map.kakao.com/536976342,,KAKAO,강남 루프탑 카페|성수 루프탑 카페|성수 옥상 카페,3
17,포르르,음식점 > 카페,0502-5553-2638,서울 광진구 화양동 3-26,서울 광진구 능동로 137-1,37.5431980988527,127.071907632875,SEONGSU,1901496827,http://place.map.kakao.com/1901496827,,KAKAO,강남 루프탑 카페|성수 루프탑 카페|성수 옥상 카페,3
18,소확행,음식점 > 카페,,서울 성동구 옥수동 359,서울 성동구 한림말5길 17,37.542773739676676,127.01654653842128,SEONGSU,1618335219,http://place.map.kakao.com/1618335219,,KAKAO,성수 루프탑 카페|성수 옥상 카페,2
19,트레비커피로스터스,음식점 > 카페,010-4682-3024,서울 광진구 군자동 360-23,서울 광진구 군자로 63,37.5490247816054,127.070541686786,SEONGSU,1220194232,http://place.map.kakao.com/1220194232,,KAKAO,성수 루프탑 카페|성수 옥상 카페,2
20,환원당,음식점 > 카페,070-8838-0230,서울 광진구 화양동 94-25,서울 광진구 능동로 166,37.545299156854966,127.0734882049305,SEONGSU,485950525,http://place.map.kakao.com/485950525,,KAKAO,강남 루프탑 카페|성수 루프탑 카페|성수 옥상 카페,3
21,카페드씨밀레,음식점 > 카페 > 테마카페 > 디저트카페,02-2292-2223,서울 성동구 마장동 781-9,서울 성동구 마장로44길 8-18,37.5665426906751,127.04516286584,SEONGSU,860157053,http://place.map.kakao.com/860157053,,KAKAO,성수 루프탑 카페|성수 옥상 카페,2
22,클라스카 커피랩,음식점 > 카페,02-3409-7701,서울 성동구 성수동2가 273-13,서울 성동구 연무장15길 11,37.54271492900708,127.0593606432671,SEONGSU,899452242,http://place.map.kakao.com/899452242,,KAKAO,성수 루프탑 카페,1
23,빈플래토,음식점 > 카페,,서울 성동구 옥수동 356-2,서울 성동구 한림말5길 19,37.5429719758473,127.0164300331,SEONGSU,23979203,http://place.map.kakao.com/23979203,,KAKAO,성수 루프탑 카페,1
