source,source_place_id,name,category,phone,address,road_address,latitude,longitude,search_region_code,region_code,region_resolution_source,region_distance_m,region_resolution_confidence,source_url,search_query,collected_at,naver_mapx,naver_mapy
KAKAO,1599571399,어라운드데이,음식점 > 카페,0502-5550-1282,서울 성동구 성수동1가 685-483,서울 성동구 서울숲2길 24-1,37.54686182777454,127.04126958888213,SEONGSU,SEONGSU,ADDRESS:성수동1가,797,0.95,http://place.map.kakao.com/1599571399,성수 루프탑 카페,2026-09-08T22:18:42,,
KAKAO,107394253,그린홀,음식점 > 카페 > 테마카페 > 디저트카페,0502-5553-2643,서울 성동구 성수동1가 656-947,서울 성동구 왕십리로 136,37.54969246914925,127.04456424080348,SEONGSU,SEONGSU,ADDRESS:성수동1가,708,0.95,http://place.map.kakao.com/107394253,성수 루프탑 카페,2026-09-08T22:18:42,,
KAKAO,801186197,미디엄스톤,음식점 > 카페 > 커피전문점,0507-1383-7181,서울 성동구 성수동1가 656-711,서울 성동구 왕십리로10길 18-1,37.5465319115248,127.04652228819,SEONGSU,SEONGSU,ADDRESS:성수동1가,351,0.95,http://place.map.kakao.com/801186197,성수 루프탑 카페,2026-09-08T22:18:42,,
KAKAO,1784371946,비도커피,음식점 > 카페 > 테마카페 > 디저트카페,0503-7150-6244,서울 성동구 성수동1가 8-36,서울 성동구 왕십리로4길 24-7,37.5468237868867,127.046644682716,SEONGSU,SEONGSU,ADDRESS:성수동1가,359,0.95,http://place.map.kakao.com/1784371946,성수 루프탑 카페,2026-09-08T22:18:42,,
KAKAO,1545128179,그린룸,음식점 > 카페 > 커피전문점,02-498-0729,서울 성동구 성수동1가 656-947,서울 성동구 왕십리로 136,37.5496933701539,127.04456424134,SEONGSU,SEONGSU,ADDRESS:성수동1가,709,0.95,http://place.map.kakao.com/1545128179,성수 루프탑 카페,2026-09-08T22:18:42,,
KAKAO,1326702165,뉴앳던 성수,음식점 > 카페,070-4242-8111,서울 성동구 성수동1가 668-38,서울 성동구 왕십리로5길 9-20,37.5464715948163,127.044041788355,SEONGSU,SEONGSU,ADDRESS:성수동1가,550,0.95,http://place.map.kakao.com/1326702165,성수 루프탑 카페,2026-09-08T22:18:42,,
KAKAO,623541475,폴인레미유 성수점,음식점 > 카페,0507-1447-3597,서울 성동구 성수동1가 656-1004,서울 성동구 왕십리로14길 34-8,37.5483190697108,127.047584863802,SEONGSU,SEONGSU,ADDRESS:성수동1가,426,0.95,http://place.map.kakao.com/623541475,성수 루프탑 카페,2026-09-08T22:18:42,,
KAKAO,206623819,포레스트 성수,음식점 > 카페,,서울 성동구 성수동1가 668-5,서울 성동구 서울숲6길 13,37.5477081280765,127.043058009515,SEONGSU,SEONGSU,ADDRESS:성수동1가,682,0.95,http://place.map.kakao.com/206623819,성수 루프탑 카페,2026-09-08T22:18:42,,
KAKAO,547570065,옹근달,음식점 > 카페,02-499-5012,서울 성동구 성수동2가 333-52,서울 성동구 성수이로7길 41-1,37.54271255358584,127.05299006599826,SEONGSU,SEONGSU,ADDRESS:성수동2가,366,0.95,http://place.map.kakao.com/547570065,성수 루프탑 카페,2026-09-08T22:18:42,,
KAKAO,1128989913,성수동대림창고갤러리,음식점 > 카페 > 테마카페 > 갤러리카페,0507-1390-9669,서울 성동구 성수동2가 322-32,서울 성동구 성수이로 78,37.54171994709006,127.05624815815919,SEONGSU,SEONGSU,ADDRESS:성수동2가,661,0.95,http://place.map.kakao.com/1128989913,성수 루프탑 카페,2026-09-08T22:18:42,,
KAKAO,1225156919,LOOOP 루프 베이커리 카페,음식점 > 카페 > 테마카페 > 디저트카페,070-7740-2020,서울 성동구 성수동2가 302-43,서울 성동구 연무장5길 9-13,37.5442084621098,127.052431000827,SEONGSU,SEONGSU,ADDRESS:성수동2가,232,0.95,http://place.map.kakao.com/1225156919,성수 루프탑 카페,2026-09-08T22:18:42,,
KAKAO,1758616703,토키노,음식점 > 카페,02-3409-1020,서울 성동구 성수동2가 315-28,서울 성동구 연무장5가길 22,37.5433026795717,127.055022747204,SEONGSU,SEONGSU,ADDRESS:성수동2가,481,0.95,http://place.map.kakao.com/1758616703,성수 루프탑 카페,2026-09-08T22:18:42,,
KAKAO,145791269,어니언 성수,음식점 > 카페,070-4353-3238,서울 성동구 성수동2가 277-135,서울 성동구 아차산로9길 8,37.544782395189884,127.05820807890457,SEONGSU,SEONGSU,ADDRESS:성수동2가,724,0.95,http://place.map.kakao.com/145791269,성수 루프탑 카페,2026-09-08T22:18:42,,
