source,source_place_id,name,category,phone,address,road_address,latitude,longitude,search_region_code,region_code,region_resolution_source,region_distance_m,region_resolution_confidence,source_url,search_query,collected_at,naver_mapx,naver_mapy,resolved_region_code,reject_reason
KAKAO,534862116,뷰376카페,음식점 > 카페,,서울 강남구 압구정동 376-1,,37.531416532105254,127.04226573399961,SEONGSU,GANGNAM,ADDRESS:강남구,3497,0.9,http://place.map.kakao.com/534862116,성수 루프탑 카페,2026-09-08T22:18:42,,,GANGNAM,OUT_OF_TARGET_REGION
KAKAO,1901496827,포르르,음식점 > 카페,0502-5553-2638,서울 광진구 화양동 3-26,서울 광진구 능동로 137-1,37.5431980988527,127.071907632875,SEONGSU,,NO_REGION_MATCH,1942,0.0,http://place.map.kakao.com/1901496827,성수 루프탑 카페,2026-09-08T22:18:42,,,,NO_REGION_MATCH
KAKAO,1618335219,소확행,음식점 > 카페,,서울 성동구 옥수동 359,서울 성동구 한림말5길 17,37.542773739676676,127.01654653842128,SEONGSU,,NO_REGION_MATCH,1688,0.0,http://place.map.kakao.com/1618335219,성수 루프탑 카페,2026-09-08T22:18:42,,,,NO_REGION_MATCH
KAKAO,1220194232,트레비커피로스터스,음식점 > 카페,010-4682-3024,서울 광진구 군자동 360-23,서울 광진구 군자로 63,37.5490247816054,127.070541686786,SEONGSU,,NO_REGION_MATCH,1865,0.0,http://place.map.kakao.com/1220194232,성수 루프탑 카페,2026-09-08T22:18:42,,,,NO_REGION_MATCH
KAKAO,485950525,환원당,음식점 > 카페,070-8838-0230,서울 광진구 화양동 94-25,서울 광진구 능동로 166,37.545299156854966,127.0734882049305,SEONGSU,,NO_REGION_MATCH,2071,0.0,http://place.map.kakao.com/485950525,성수 루프탑 카페,2026-09-08T22:18:42,,,,NO_REGION_MATCH
KAKAO,860157053,카페드씨밀레,음식점 > 카페 > 테마카페 > 디저트카페,02-2292-2223,서울 성동구 마장동 781-9,서울 성동구 마장로44길 8-18,37.5665426906751,127.04516286584,SEONGSU,,NO_REGION_MATCH,2433,0.0,http://place.map.kakao.com/860157053,성수 루프탑 카페,2026-09-08T22:18:42,,,,NO_REGION_MATCH
KAKAO,23979203,빈플래토,음식점 > 카페,,서울 성동구 옥수동 356-2,서울 성동구 한림말5길 19,37.5429719758473,127.0164300331,SEONGSU,,NO_REGION_MATCH,1691,0.0,http://place.map.kakao.com/23979203,성수 루프탑 카페,2026-09-08T22:18:42,,,,NO_REGION_MATCH
KAKAO,500100347,무프아파트먼트,음식점 > 카페,02-2298-0397,서울 성동구 하왕십리동 975-20,서울 성동구 무학봉길 82,37.5615204686845,127.031498701771,SEONGSU,,NO_REGION_MATCH,2457,0.0,http://place.map.kakao.com/500100347,성수 루프탑 카페,2026-09-08T22:18:42,,,,NO_REGION_MATCH
KAKAO,534862116,뷰376카페,음식점 > 카페,,서울 강남구 압구정동 376-1,,37.531416532105254,127.04226573399961,SEONGSU,GANGNAM,ADDRESS:강남구,3497,0.9,http://place.map.kakao.com/534862116,성수 옥상 카페,2026-09-08T22:18:42,,,GANGNAM,OUT_OF_TARGET_REGION
KAKAO,1901496827,포르르,음식점 > 카페,0502-5553-2638,서울 광진구 화양동 3-26,서울 광진구 능동로 137-1,37.5431980988527,127.071907632875,SEONGSU,,NO_REGION_MATCH,1942,0.0,http://place.map.kakao.com/1901496827,성수 옥상 카페,2026-09-08T22:18:42,,,,NO_REGION_MATCH
KAKAO,1618335219,소확행,음식점 > 카페,,서울 성동구 옥수동 359,서울 성동구 한림말5길 17,37.542773739676676,127.01654653842128,SEONGSU,,NO_REGION_MATCH,1688,0.0,http://place.map.kakao.com/1618335219,성수 옥상 카페,2026-09-08T22:18:42,,,,NO_REGION_MATCH
KAKAO,1220194232,트레비커피로스터스,음식점 > 카페,010-4682-3024,서울 광진구 군자동 360-23,서울 광진구 군자로 63,37.5490247816054,127.070541686786,SEONGSU,,NO_REGION_MATCH,1865,0.0,http://place.map.kakao.com/1220194232,성수 옥상 카페,2026-09-08T22:18:42,,,,NO_REGION_MATCH
KAKAO,485950525,환원당,음식점 > 카페,070-8838-0230,서울 광진구 화양동 94-25,서울 광진구 능동로 166,37.545299156854966,127.0734882049305,SEONGSU,,NO_REGION_MATCH,2071,0.0,http://place.map.kakao.com/485950525,성수 옥상 카페,2026-09-08T22:18:42,,,,NO_REGION_MATCH
KAKAO,860157053,카페드씨밀레,음식점 > 카페 > 테마카페 > 디저트카페,02-2292-2223,서울 성동구 마장동 781-9,서울 성동구 마장로44길 8-18,37.5665426906751,127.04516286584,SEONGSU,,NO_REGION_MATCH,2433,0.0,http://place.map.kakao.com/860157053,성수 옥상 카페,2026-09-08T22:18:42,,,,NO_REGION_MATCH
KAKAO,19615417,서울루덴스,음식점 > 카페,02-795-4151,서울 용산구 이태원동 5-12,서울 용산구 회나무로 69,37.5404177441095,126.994260999632,HANNAM,ITAEWON,ADDRESS:이태원동,636,0.95,http://place.map.kakao.com/19615417,한남 루프탑 카페,2026-09-08T22:18:42,,,ITAEWON,OUT_OF_TARGET_REGION
KAKAO,1886309015,콩카페 이태원점,음식점 > 카페 > 커피전문점 > 콩카페,070-7717-0333,서울 용산구 이태원동 34-54,서울 용산구 녹사평대로 168-8,37.53324004328261,126.98945989685845,HANNAM,ITAEWON,ADDRESS:이태원동,457,0.95,http://place.map.kakao.com/1886309015,한남 루프탑 카페,2026-09-08T22:18:42,,,ITAEWON,OUT_OF_TARGET_REGION
KAKAO,21555431,에브리씽벗더히어로,음식점 > 카페,02-792-7909,서울 용산구 이태원동 210-68,서울 용산구 회나무로 62,37.5400933449703,126.993505181508,HANNAM,ITAEWON,ADDRESS:이태원동,604,0.95,http://place.map.kakao.com/21555431,한남 루프탑 카페,2026-09-08T22:18:42,,,ITAEWON,OUT_OF_TARGET_REGION
KAKAO,764370388,드로우지,음식점 > 카페,,서울 용산구 이태원동 2-5,서울 용산구 회나무로 83,37.5409854293477,126.995541831055,HANNAM,ITAEWON,ADDRESS:이태원동,707,0.95,http://place.map.kakao.com/764370388,한남 루프탑 카페,2026-09-08T22:18:42,,,ITAEWON,OUT_OF_TARGET_REGION
KAKAO,478103433,웰니스카페사유,음식점 > 카페,02-518-8219,서울 용산구 용산동2가 5-84,서울 용산구 신흥로 11,37.5396296181237,126.986328152322,HANNAM,HAEBANGCHON_HUAM,ADDRESS:용산동2가,616,0.95,http://place.map.kakao.com/478103433,한남 루프탑 카페,2026-09-08T22:18:42,,,HAEBANGCHON_HUAM,OUT_OF_TARGET_REGION
KAKAO,1910390625,마하 한남,음식점 > 카페,070-8064-8409,서울 용산구 동빙고동 21-2,서울 용산구 서빙고로91나길 85,37.5244926232332,126.996088082789,HANNAM,,NO_REGION_MATCH,1146,0.0,http://place.map.kakao.com/1910390625,한남 한강뷰 카페,2026-09-08T22:18:42,,,,NO_REGION_MATCH
